comparison	left_run	right_run	block_unit	delta_macro_ap	delta_macro_ap_seed_sd	delta_macro_f1	delta_macro_f1_seed_sd	delta_micro_ap	delta_micro_ap_seed_sd	delta_micro_f1	delta_micro_f1_seed_sd	delta_macro_ap_ci_low	delta_macro_ap_ci_high	delta_macro_f1_ci_low	delta_macro_f1_ci_high	delta_micro_ap_ci_low	delta_micro_ap_ci_high	delta_micro_f1_ci_low	delta_micro_f1_ci_high	seed_count	bootstrap_iterations	block_count_min	block_count_max
cluster30_nohost_primary	protein_only.sequence_cluster_30_holdout	genome_aware_nohost_local_genome.sequence_cluster_30_holdout	sequence_cluster_30_id	0.025504184338187946	0.0025191495011538567	0.022659573445996044	0.0035710541851048227	0.013221475510443503	0.0020269705644500808	0.013782628765137176	0.009636685804895904	0.01746164834685773	0.035558552121189684	0.014868492517042748	0.03007313933779514	0.00812890710530249	0.018821509381423695	0.007308039088874619	0.02068304281187628	3	1000	16539	16539
cluster50_nohost_primary	protein_only.sequence_cluster_50_holdout	genome_aware_nohost_local_genome.sequence_cluster_50_holdout	sequence_cluster_50_id	0.015523453705831894	0.004111852239788839	0.02357801408548395	0.0027408943168714273	0.011059092760266398	0.006568295865506833	0.01116057400861481	0.006890129142134075	0.008898242524671083	0.024292260339575763	0.017244977555398514	0.029392990309880455	0.005268514548059898	0.016749330712956274	0.005521568083422793	0.016402848523143557	3	1000	22252	22252
cluster70_nohost_primary	protein_only.sequence_cluster_70_holdout	genome_aware_nohost_local_genome.sequence_cluster_70_holdout	sequence_cluster_70_id	0.013799080895384397	0.008641022367105738	0.011747612964800277	0.0031496155670987084	0.013274956923025346	0.006722564651623267	0.01532447910768712	0.004048076781222073	0.008640794491562472	0.019411287451372296	0.006670655266131932	0.01667031520687121	0.00946601686700057	0.01726881347569714	0.009679947343910285	0.021133510417706364	3	1000	28156	28156
