comparison	left_run	right_run	block_unit	delta_macro_ap	delta_macro_ap_seed_sd	delta_macro_f1	delta_macro_f1_seed_sd	delta_micro_ap	delta_micro_ap_seed_sd	delta_micro_f1	delta_micro_f1_seed_sd	delta_macro_ap_ci_low	delta_macro_ap_ci_high	delta_macro_f1_ci_low	delta_macro_f1_ci_high	delta_micro_ap_ci_low	delta_micro_ap_ci_high	delta_micro_f1_ci_low	delta_micro_f1_ci_high	seed_count	bootstrap_iterations	block_count_min	block_count_max
family_nohost_primary	protein_only.family_holdout	genome_aware_nohost_local_genome.family_holdout	virus_family	0.008970576690017959	0.006616413530546472	0.012192019682832234	0.0056455231067262576	2.5575843462743997e-05	0.009014613491373254	-0.002822683262181158	0.006579119462201684	-0.005548387940404141	0.014597718244997504	-0.0041868439021821285	0.026097608484113924	-0.006643919668757145	0.00600794928951717	-0.007937135424087662	0.003005386235345071	3	1000	122	122
host_nohost_primary	protein_only.host_holdout	genome_aware_nohost_local_genome.host_holdout	host_taxid_key	0.016036507301726604	0.002736312659407221	0.020792230091987274	0.003390580843271232	0.010912266783457173	0.002391347572005607	0.012744361916972	0.0027858741741360474	0.009394695615669123	0.022929140789880623	0.011250647488262634	0.02959788435839595	0.006513013077418116	0.016341452030635684	0.007332007681238567	0.0188049953889063	3	1000	361	361
