scheme	subset	test_proteins	covered_by_top_hit	coverage	macro_ap	macro_fmax	micro_ap	micro_fmax	precision_at_identity_ge_30	precision_at_identity_ge_50	precision_at_identity_ge_70	precision_at_identity_ge_90	precision_at_identity_ge_100
default	all_test	67182	60692	0.9033967431752553	0.7256189412415042	0.7536138798544038	0.7970413807519973	0.87882121352478	0.8847559914118261	0.8944039862016098	0.8982199253517082	0.9011578409671378	0.8950218704436576
family_holdout	all_test	66837	46155	0.6905606176219758	0.5943886255880464	0.661424606593672	0.6833987687439289	0.7851933317897662	0.8124487090461461	0.8416048678455981	0.860781990521327	0.9295470884255931	0.9530516431924883
family_holdout	strict_zero_exact_transfer	65921	45239	0.686260827353954	0.5904381093596885	0.6584509305126497	0.6784684008281929	0.7826520438683948	0.8106312292358804	0.8393842579146094	0.8568205128205129	0.9242928452579035	0.875
host_holdout	all_test	69412	57475	0.8280268541462571	0.6541013417094008	0.7154694771685856	0.7101306141017858	0.8031216743526074	0.8394563056998141	0.8496151099119118	0.8539682539682539	0.8548984733955832	0.8554744525547445
