comparison	model	split	subset	excluded_label	test_proteins	label_count	protein_macro_ap	context_macro_ap	delta_macro_ap	protein_macro_f1	context_macro_f1	delta_macro_f1	protein_micro_ap	context_micro_ap	delta_micro_ap	protein_micro_f1	context_micro_f1	delta_micro_f1	delta_macro_ap_ci_low	delta_macro_ap_ci_high	delta_macro_f1_ci_low	delta_macro_f1_ci_high	delta_micro_ap_ci_low	delta_micro_ap_ci_high	delta_micro_f1_ci_low	delta_micro_f1_ci_high	seed_count	bootstrap_iterations	block_unit	block_count
family_full_all_labels	no_host_local_genome_vs_protein_only	family_holdout	full_test		66837	17	0.6940942425809659	0.7030648192709839	0.008970576690017959	0.6578994242613129	0.6700914439441451	0.012192019682832234	0.7612247693324609	0.7612503451759237	2.5575843462743997e-05	0.7095437463442996	0.7067210630821185	-0.002822683262181158	-0.006024044180958021	0.01455241420883439	-0.00636123475499103	0.02836962194021879	-0.0058769690616371625	0.00562646535746508	-0.008688342792648343	0.0025665814113634924	3	100	virus_family	122
family_strict_zero_all_labels	no_host_local_genome_vs_protein_only	family_holdout	strict_zero_exact_transfer		65921	17	0.6927399747461381	0.7018436964327748	0.009103721686636757	0.6567239384110102	0.6689959815615021	0.012272043150492018	0.7600137080747561	0.7602042274927895	0.0001905194180333858	0.7086399258757629	0.7058601262863736	-0.002779799589389268	-0.004353373649290932	0.016004394035445197	-0.0014002563142769616	0.02803022793222339	-0.006101312910831301	0.007186234360764982	-0.007131290064697375	0.003823365058549841	3	100	virus_family	122
family_full_excluding_nucleocapsid	no_host_local_genome_vs_protein_only	family_holdout	full_test	nucleocapsid	66837	16	0.7203179021523632	0.7138469465946634	-0.0064709555576998685	0.6772995996416123	0.6759121872754191	-0.0013874123661932563	0.764002018177369	0.7625616351916257	-0.0014403829857434491	0.7119647440192804	0.7076424434629129	-0.004322300556367509	-0.009468322130986665	0.0024767664609589516	-0.008804916670440586	0.014338961966632107	-0.006024391954779671	0.004414122771805205	-0.008732112010752937	0.0008173114712494017	3	100	virus_family	122
family_strict_zero_excluding_nucleocapsid	no_host_local_genome_vs_protein_only	family_holdout	strict_zero_exact_transfer	nucleocapsid	65921	16	0.7188781604524976	0.7125494798969813	-0.006328680555516275	0.6760506459256655	0.674748258493861	-0.0013023874318047006	0.7628149667663026	0.7615269301394368	-0.0012880366268656445	0.711079836974025	0.7067847032997042	-0.00429513367432081	-0.011554148091535524	0.001469821612180411	-0.00877347091514036	0.011823976303010904	-0.009605695786417548	0.003647173173207918	-0.009520762220502308	0.00010605129281679341	3	100	virus_family	122
