coverage	selected_examples	top1_precision	micro_precision	micro_recall	micro_f1
0.05	3342	0.8803111909036505	0.8805460750853242	0.17710657285052342	0.2948992713244749
0.1	6684	0.8215140634350688	0.824526134405514	0.3284709112750987	0.46978932296993253
0.2	13367	0.7745193386698586	0.7730130695867184	0.6259367313082775	0.6917435832595776
0.3	20051	0.6743304573337988	0.6969788367767557	0.7931468451461587	0.7419596510943436
0.5	33418	0.44395236100305224	0.672257758824923	0.8116240489674503	0.7353962577100502
0.7	46786	0.3219552857692472	0.6660720153983382	0.8116240489674503	0.731679645196225
1.0	66837	0.22641650582761044	0.6656345296739385	0.8116240489674503	0.7314156098566862
