split	metric	mean_delta	sd_delta
family-holdout	macro AP	0.01859033128281488	0.0010310929509258148
family-holdout	macro F1	0.021527578864160752	0.0009113044568195991
family-holdout	micro AP	0.008158575652114938	0.010607445503498828
family-holdout	micro F1	0.005163922416783762	0.0038171338332076573
host-holdout	macro AP	0.013198109053498127	0.005850617540013778
host-holdout	macro F1	0.016892156399720155	0.0014615722282737612
host-holdout	micro AP	0.009254298939215219	0.003041944191011125
host-holdout	micro F1	0.009844609802598603	0.0015664834886741227
