label	base_threshold	temperature_scaled_best_f1_threshold	temperature_scaled_precision_target_threshold	precision_target	empirical_val_precision_at_target_threshold	val_support
polymerase	0.8999999761581421	0.9786546337418258	0.9910714626312256	0.9	0.9004024144869215	1427
helicase	0.8999999761581421	0.9382486823014915	1.0	0.9	0.0	552
protease	0.8999999761581421	0.8224920779466629	0.9271351099014282	0.9	0.9002375296912114	388
capsid_head	0.8999999761581421	0.9733163360506296	0.993490993976593	0.9	0.9008	942
tail_fiber_receptor	0.8999999761581421	0.9286886947229505	0.9952141046524048	0.9	0.9032258064516129	624
tail_assembly	0.8999999761581421	0.8496449938975275	0.9231162071228027	0.9	0.9000768639508071	5516
portal_terminase_packaging	0.8500000238418579	0.9896218357607722	0.9879289269447327	0.9	0.9004081632653061	1230
lysis	0.8999999761581421	0.9874206478707492	0.989923894405365	0.9	0.900390625	1618
envelope_glycoprotein	0.8999999761581421	0.9024817838799208	0.9950779676437378	0.9	1.0	68
membrane_matrix	0.8999999761581421	0.9297115728259087	0.9772223830223083	0.9	0.9230769230769231	211
nucleocapsid	0.8999999761581421	0.0344917441252619	1.0	0.9	0.0	8
integrase_recombinase	0.8999999761581421	0.9916325397789478	0.9981707334518433	0.9	0.9044585987261147	192
nuclease	0.8999999761581421	0.9801260679960251	0.982466995716095	0.9	0.9001116071428571	1928
methyltransferase	0.8500000238418579	0.920509934425354	0.9952771663665771	0.9	0.9056603773584906	406
ligase	0.8999999761581421	0.9972345298156142	0.7425223588943481	0.9	0.9003690036900369	262
transcription_regulator	0.8999999761581421	0.9541752673685551	0.9979580640792847	0.9	1.0	255
polyprotein	0.8999999761581421	0.6846118038520217	1.0	0.9	0.0	39
