excluded_label	subset	label_count	protein_macro_ap	context_macro_ap	delta_macro_ap	protein_macro_f1	context_macro_f1	delta_macro_f1	protein_micro_ap	context_micro_ap	delta_micro_ap	protein_micro_f1	context_micro_f1	delta_micro_f1	seed_count
polymerase	strict_zero_exact_transfer	16	0.6837910055785655	0.6941809677428417	0.010389962164276198	0.6519955610099348	0.6669898071436707	0.0149942461337359	0.7529877491861671	0.755314223062995	0.002326473876827939	0.706633896302919	0.7063150269848048	-0.000318869318114053	3
helicase	strict_zero_exact_transfer	16	0.6809350178106834	0.691087358311366	0.0101523405006827	0.644233685375081	0.65872600390448	0.014492318529399029	0.7532318237564235	0.754092296222073	0.0008604724656495385	0.701864184773244	0.7000461871429041	-0.0018179976303398886	3
protease	strict_zero_exact_transfer	16	0.6866419231593031	0.696835695284673	0.010193772125370018	0.6520869404445625	0.6657691048965145	0.013682164451951992	0.7589046208717076	0.7594459999257248	0.0005413790540172622	0.708120643977808	0.7055351619647654	-0.0025854820130426504	3
capsid_head	strict_zero_exact_transfer	16	0.6946961617025312	0.7063265204367145	0.011630358734183463	0.6617590863715336	0.6743332999419646	0.012574213570431017	0.7799565180122293	0.7797585433412325	-0.00019797467099676633	0.7266205334367181	0.7219805235203863	-0.004640009916331844	3
tail_fiber_receptor	strict_zero_exact_transfer	16	0.6832666113796207	0.6926452306342971	0.009378619254676313	0.6507411826880539	0.6638563610700423	0.013115178381988354	0.7541764492157249	0.755286391579256	0.0011099423635311985	0.7054717597741499	0.7025986886946846	-0.002873071079465328	3
tail_assembly	strict_zero_exact_transfer	16	0.6819363587703183	0.6913309398181063	0.009394581047788083	0.6469031952197216	0.6602201805359962	0.013316985316274565	0.7570059559359762	0.7545827975311036	-0.002423158404872653	0.6762399685143642	0.6741416305693185	-0.0020983379450456954	3
portal_terminase_packaging	strict_zero_exact_transfer	16	0.6797842047594821	0.6892419062542935	0.009457701494811474	0.6453572623784106	0.6598096188121395	0.01445235643372896	0.7430454548001876	0.7428718520640561	-0.00017360273613142851	0.6984082109819956	0.696943578607263	-0.0014646323747325256	3
lysis	strict_zero_exact_transfer	16	0.681746225716679	0.6916651060527702	0.009918880336091266	0.6479544222519505	0.6617575075531699	0.013803085301219245	0.7486393394204792	0.7493790091833178	0.0007396697628386054	0.7006991459146441	0.6986900373141066	-0.002009108600537527	3
envelope_glycoprotein	strict_zero_exact_transfer	16	0.7098279700463976	0.7211463532931844	0.011318383246786579	0.6689396680803151	0.6815614494260638	0.01262178134574865	0.766474795632889	0.7668209641298972	0.0003461684970082664	0.7170450989910281	0.71372737065856	-0.0033177283324682394	3
membrane_matrix	strict_zero_exact_transfer	16	0.7115629335667233	0.7219699554459199	0.010407021879196584	0.6779495505779777	0.6908674168007054	0.0129178662227278	0.7692351159251526	0.769073492717144	-0.00016162320800860996	0.726842774123512	0.7230191023301051	-0.003823671793406813	3
nucleocapsid	strict_zero_exact_transfer	16	0.7188781604524976	0.7125494798969813	-0.006328680555516275	0.6760506459256655	0.674748258493861	-0.0013023874318047006	0.7628149667663026	0.7615269301394368	-0.0012880366268656445	0.711079836974025	0.7067847032997042	-0.00429513367432081	3
integrase_recombinase	strict_zero_exact_transfer	16	0.6771785481277756	0.6865537178265578	0.009375169698782418	0.6477987793127294	0.6596752152393229	0.011876435926593413	0.7559178095906879	0.7567512200745315	0.0008334104838437773	0.7075046068041569	0.7045138002702366	-0.002990806533920328	3
nuclease	strict_zero_exact_transfer	16	0.6817932953427821	0.6913445109341545	0.009551215591372286	0.6470708834744195	0.6610226166412331	0.01395173316681353	0.7503406520086721	0.7502741342380218	-6.651777065014297e-05	0.6980793348002295	0.6964242748700551	-0.0016550599301744888	3
methyltransferase	strict_zero_exact_transfer	16	0.6856068965919162	0.6964075530145779	0.010800656422661667	0.6441498389444328	0.6576283903714579	0.013478551427025068	0.758790329323117	0.7590417017629005	0.0002513724397836444	0.7063024282072412	0.7036088558700543	-0.0026935723371869593	3
ligase	strict_zero_exact_transfer	16	0.6795537229750813	0.688927436735295	0.009373713760213823	0.6404272252041587	0.65374591344239	0.013318688238231199	0.7568289056058669	0.7570766550325153	0.0002477494266482916	0.7062097974809332	0.7034916181126706	-0.0027181793682625743	3
transcription_regulator	strict_zero_exact_transfer	16	0.7098029819460944	0.7212494730700115	0.011446491123917121	0.6717151083099383	0.6847464118847698	0.013031303574831362	0.7687548704126582	0.7694253157060017	0.0006704452933434801	0.7188992083733426	0.715484731968188	-0.003414476405154724	3
polyprotein	strict_zero_exact_transfer	16	0.7295775527578958	0.7378806346054271	0.008303081847531183	0.6891739174182864	0.697474130387756	0.008300212969469664	0.7856828992165094	0.7841231858831307	-0.0015597133333788242	0.7240910448006246	0.7197731974251163	-0.004317847375508332	3
