scheme	subset	label	ap	fmax	positives
default	all_test	polymerase	0.8394315101439677	0.8958873656909967	1354
default	all_test	helicase	0.7706490326524229	0.8138117806364252	805
default	all_test	protease	0.815714573227447	0.8858267716535434	512
default	all_test	capsid_head	0.7387050631132781	0.8337595907928389	1393
default	all_test	tail_fiber_receptor	0.817718145637455	0.8900627269725981	1517
default	all_test	tail_assembly	0.8511921580064559	0.9060461070030448	4661
default	all_test	portal_terminase_packaging	0.8930019399192695	0.9291681801670905	1409
default	all_test	lysis	0.8458248284771128	0.8674033149171271	1358
default	all_test	envelope_glycoprotein	0.6188261307937173	0.7935103244837759	342
default	all_test	membrane_matrix	0.3889282604247961	0.6001734605377277	649
default	all_test	nucleocapsid	0.4915219438864561	0.001844030694188329	62
default	all_test	integrase_recombinase	0.7353396663185447	0.7164179104477612	234
default	all_test	nuclease	0.8013743077877653	0.8917961297356228	1821
default	all_test	methyltransferase	0.780000508665214	0.682608695652174	292
default	all_test	ligase	0.8543795469689808	0.6525423728813561	303
default	all_test	transcription_regulator	0.7292541344593904	0.8326612903225805	488
default	all_test	polyprotein	0.3636602506232979	0.6179159049360146	211
family_holdout	all_test	polymerase	0.7187774435073897	0.7598806860551827	1344
family_holdout	all_test	helicase	0.7662412899243092	0.826572604350382	864
family_holdout	all_test	protease	0.7033012131784708	0.7402597402597402	435
family_holdout	all_test	capsid_head	0.5856944721928067	0.7114646187602852	1808
family_holdout	all_test	tail_fiber_receptor	0.7298132399938602	0.8499573742540494	1176
family_holdout	all_test	tail_assembly	0.7486865861941203	0.8291146116241173	4690
family_holdout	all_test	portal_terminase_packaging	0.7620839081332214	0.8378576669112253	1389
family_holdout	all_test	lysis	0.7939279089664455	0.8484848484848485	1532
family_holdout	all_test	envelope_glycoprotein	0.31354430902302766	0.49929078014184397	369
family_holdout	all_test	membrane_matrix	0.28635248502086524	0.5108433734939759	495
family_holdout	all_test	nucleocapsid	0.0116270169244969	0.014925373134328356	133
family_holdout	all_test	integrase_recombinase	0.8176749440719514	0.7786259541984731	224
family_holdout	all_test	nuclease	0.7832076964746372	0.8404441846873173	1751
family_holdout	all_test	methyltransferase	0.7702227093638649	0.6125	311
family_holdout	all_test	ligase	0.7908103777042137	0.798004987531172	231
family_holdout	all_test	transcription_regulator	0.4817773971448511	0.62877030162413	517
family_holdout	all_test	polyprotein	0.04086363717825741	0.15722120658135283	212
family_holdout	strict_zero_exact_transfer	polymerase	0.718825001860031	0.7568583239383689	1342
family_holdout	strict_zero_exact_transfer	helicase	0.7631164790360274	0.8242280285035629	858
family_holdout	strict_zero_exact_transfer	protease	0.6989295979702534	0.7382198952879582	432
family_holdout	strict_zero_exact_transfer	capsid_head	0.581094180194091	0.7085524494879601	1798
family_holdout	strict_zero_exact_transfer	tail_fiber_receptor	0.7272936034588451	0.8440051568543188	1172
family_holdout	strict_zero_exact_transfer	tail_assembly	0.743339486951867	0.8435844773537996	4636
family_holdout	strict_zero_exact_transfer	portal_terminase_packaging	0.7579949825109076	0.8371057513914657	1376
family_holdout	strict_zero_exact_transfer	lysis	0.791691436687868	0.844207723035952	1520
family_holdout	strict_zero_exact_transfer	envelope_glycoprotein	0.3135836021455814	0.4949928469241774	369
family_holdout	strict_zero_exact_transfer	membrane_matrix	0.29830974218523487	0.5133819951338199	492
family_holdout	strict_zero_exact_transfer	nucleocapsid	0.011654251840129377	0.014925373134328356	133
family_holdout	strict_zero_exact_transfer	integrase_recombinase	0.8129431244055215	0.7769028871391077	216
family_holdout	strict_zero_exact_transfer	nuclease	0.7735097802390284	0.8360606962213627	1709
family_holdout	strict_zero_exact_transfer	methyltransferase	0.7440709419922111	0.6030368763557483	296
family_holdout	strict_zero_exact_transfer	ligase	0.790818070008629	0.7828282828282829	231
family_holdout	strict_zero_exact_transfer	transcription_regulator	0.46937833963208087	0.6166868198307135	497
family_holdout	strict_zero_exact_transfer	polyprotein	0.040895237996395856	0.15808823529411767	212
host_holdout	all_test	polymerase	0.7609812562739224	0.8378283712784589	1465
host_holdout	all_test	helicase	0.7352743662218014	0.7923784494086729	827
host_holdout	all_test	protease	0.7115367045179786	0.7095990279465372	471
host_holdout	all_test	capsid_head	0.6606133589927107	0.776932318782539	1282
host_holdout	all_test	tail_fiber_receptor	0.7430115696319566	0.8261022927689594	1445
host_holdout	all_test	tail_assembly	0.7580578249353099	0.8568849922640537	3936
host_holdout	all_test	portal_terminase_packaging	0.8451113813451963	0.8773584905660378	1329
host_holdout	all_test	lysis	0.774979828639641	0.8207004704652378	1041
host_holdout	all_test	envelope_glycoprotein	0.5555432773319104	0.6594202898550725	479
host_holdout	all_test	membrane_matrix	0.39922640477713206	0.5481335952848723	670
host_holdout	all_test	nucleocapsid	0.459495661462798	0.025641025641025647	77
host_holdout	all_test	integrase_recombinase	0.6597418623420681	0.7519582245430809	209
host_holdout	all_test	nuclease	0.6857674959974289	0.8266666666666667	1588
host_holdout	all_test	methyltransferase	0.7206290176909865	0.7966573816155988	370
host_holdout	all_test	ligase	0.859718939734009	0.9121813031161473	358
host_holdout	all_test	transcription_regulator	0.552237237490186	0.660217654171705	479
host_holdout	all_test	polyprotein	0.2377966216747787	0.4843205574912891	225
