subset	test_protein_count	exact_transfer_count	protein_macro_ap	context_macro_ap	delta_macro_ap	protein_macro_f1	context_macro_f1	delta_macro_f1	protein_micro_ap	context_micro_ap	delta_micro_ap	protein_micro_f1	context_micro_f1	delta_micro_f1
all_family_test	66837	916	0.6951915425629733	0.7088333790022351	0.013641836439261756	0.6586199267865799	0.6810874110533822	0.02246748426680234	0.7648546643592684	0.7500039275271702	-0.014850736832098255	0.7094211923953658	0.7119894231438313	0.002568230748465461
strict_zero_exact_transfer_test	65921	0	0.6940404650469297	0.7073140113578982	0.013273546310968443	0.657402827709188	0.6797181008893106	0.022315273180122608	0.7635831851081363	0.7486602747046429	-0.014922910403493361	0.7081987459623789	0.711040329757834	0.0028415837954551826
exact_transfer_only_test	916	916	0.8514760634496246	0.9032637497599312	0.05178768631030661	0.6174513551767239	0.6230005870002823	0.005549231823558376	0.8947421189312288	0.893906994170603	-0.0008351247606257495	0.8240534521158129	0.8096385542168675	-0.014414897898945456
